Anton Paar Monowave Series;;;;;;;;
Serial Number: 82701239;;;;;;;;
Instrument Software Version: 4.10.10607.14;;;;;;;;
;;;;;;;;
Processing Protocol;;;;;;;;
Experiment Name;vb-8min;;;;;;;
Experiment Date;10/20/2022 11:10:11 AM;;;;;;;
Experiment Unique ID;982;;;;;;;
User;Administrator;;;;;;;
Temperature Control;IR;;;;;;;
Vial Type;Glass vial G30;;;;;;;
;;;;;;;;
Steps;;;;;;;;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed;;
;;C;hh:mm:ss;W;;rpm;;
1;Heat to temperature in time;60;00:01:30;850;Off;800;;
2;Hold;-;00:06:30;850;Off;800;;
3;Cool down;60;-;-;On;800;;
;;;;;;;;
Experiment Result;;;;;;;;
Result;OK;;;;;;;
;;;;;;;;
;;;;;;;;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:03:08;00:01:37;59;31;0.0;0;800;Off;2
00:03:09;00:01:38;60;31;0.0;0;800;Off;2
00:03:10;00:01:39;59;31;0.0;0;800;Off;2
00:03:11;00:01:40;59;31;0.0;0;800;Off;2
00:03:12;00:01:41;60;31;0.0;1;800;Off;2
00:03:13;00:01:42;59;31;0.0;1;800;Off;2
00:03:14;00:01:43;59;31;0.0;1;800;Off;2
00:03:15;00:01:44;59;31;0.0;2;800;Off;2
00:03:16;00:01:45;59;31;0.0;2;800;Off;2
00:03:17;00:01:46;59;31;0.0;3;800;Off;2
00:03:18;00:01:47;60;31;0.0;3;800;Off;2
00:03:19;00:01:48;59;31;0.0;3;800;Off;2
00:03:20;00:01:49;59;31;0.0;3;800;Off;2
00:03:21;00:01:50;59;31;0.0;4;800;Off;2
00:03:22;00:01:51;59;31;0.0;4;800;Off;2
00:03:23;00:01:52;59;31;0.0;5;800;Off;2
00:03:24;00:01:53;59;31;0.0;5;800;Off;2
00:03:25;00:01:54;59;31;0.0;5;800;Off;2
00:03:26;00:01:55;59;31;0.0;6;800;Off;2
00:03:27;00:01:56;58;31;0.0;5;800;Off;2
00:03:28;00:01:57;59;31;0.0;10;800;Off;2
00:03:29;00:01:58;59;31;0.0;7;800;Off;2
00:03:30;00:01:59;59;31;0.0;8;800;Off;2
00:03:31;00:02:00;59;31;0.0;7;800;Off;2
00:03:32;00:02:01;59;31;0.0;9;800;Off;2
00:03:33;00:02:02;59;31;0.0;7;800;Off;2
00:03:34;00:02:03;59;31;0.0;10;800;Off;2
00:03:35;00:02:04;59;31;0.0;10;800;Off;2
00:03:36;00:02:05;59;31;0.0;7;800;Off;2
00:03:37;00:02:06;59;31;0.0;6;800;Off;2
00:03:38;00:02:07;60;31;0.0;4;800;Off;2
00:03:39;00:02:08;60;31;0.0;5;800;Off;2
00:03:40;00:02:09;60;31;0.0;3;800;Off;2
00:03:41;00:02:10;60;31;0.0;2;800;Off;2
00:03:42;00:02:11;61;31;0.0;2;800;Off;2
00:03:43;00:02:12;60;31;0.0;1;800;Off;2
00:03:44;00:02:13;61;31;0.0;1;800;Off;2
00:03:45;00:02:14;61;31;0.0;1;800;Off;2
00:03:46;00:02:15;61;31;0.0;1;800;Off;2
00:03:47;00:02:16;61;31;0.0;0;800;Off;2
00:03:48;00:02:17;61;31;0.0;0;800;Off;2
00:03:49;00:02:18;61;31;0.0;0;800;Off;2
00:03:50;00:02:19;61;31;0.0;0;800;Off;2
00:03:51;00:02:20;61;31;0.0;0;800;Off;2
00:03:52;00:02:21;62;31;0.0;0;800;Off;2
00:03:53;00:02:22;61;31;0.0;0;800;Off;2
00:03:54;00:02:23;61;31;0.0;0;800;Off;2
00:03:55;00:02:24;61;31;0.0;0;800;Off;2
00:03:56;00:02:25;61;31;0.0;0;800;Off;2
00:03:57;00:02:26;61;31;0.0;0;800;Off;2
00:03:58;00:02:27;61;31;0.0;0;800;Off;2
00:03:59;00:02:28;61;31;0.0;0;800;Off;2
00:04:00;00:02:29;61;31;0.0;0;800;Off;2
00:04:01;00:02:30;61;31;0.0;0;800;Off;2
00:04:02;00:02:31;61;31;0.0;0;800;Off;2
00:04:03;00:02:32;61;31;0.0;0;800;Off;2
00:04:04;00:02:33;61;31;0.0;0;800;Off;2
00:04:05;00:02:34;61;31;0.0;0;800;Off;2
00:04:06;00:02:35;61;31;0.0;0;800;Off;2
00:04:07;00:02:36;61;31;0.0;0;800;Off;2
00:04:08;00:02:37;60;31;0.0;0;800;Off;2
00:04:09;00:02:38;61;31;0.0;0;800;Off;2
00:04:10;00:02:39;61;31;0.0;0;800;Off;2
00:04:11;00:02:40;61;31;0.0;0;800;Off;2
