,t,Q,TG,DG,MG,G,ME
102,102.0,6.0,0.07955435,0.09358391,0.0790019,0.42010954,1.4579397
103,103.0,6.0,0.078605264,0.09250939,0.07816232,0.4229801,1.4637598
104,104.0,6.0,0.07767998,0.09146382,0.07734663,0.42577374,1.4694263
105,105.0,6.0,0.07677798,0.09044661,0.07655396,0.42849293,1.4749428
106,106.0,6.0,0.07589883,0.08945678,0.07578322,0.4311397,1.4803134
107,107.0,6.0,0.075042054,0.08849369,0.0750336,0.43371636,1.4855427
108,108.0,6.0,0.07420717,0.087556586,0.07430413,0.4362251,1.4906338
109,109.0,6.0,0.073393814,0.086644754,0.07359408,0.43866765,1.4955912
110,110.0,6.0,0.07260144,0.08575755,0.07290262,0.44104654,1.5004183
111,111.0,6.0,0.07182962,0.08489421,0.072229005,0.44336334,1.505119
112,112.0,6.0,0.07107791,0.08405416,0.07157254,0.4456203,1.5096971
113,113.0,6.0,0.07034592,0.08323674,0.070932664,0.44781905,1.5141559
114,114.0,6.0,0.06963315,0.082441404,0.07030866,0.44996145,1.5184991
115,115.0,6.0,0.068939194,0.08166747,0.06970007,0.45204937,1.5227302
116,116.0,6.0,0.06826356,0.08091442,0.069106266,0.45408434,1.5268527
117,117.0,6.0,0.067605846,0.08018167,0.06852685,0.45606822,1.5308701
118,118.0,6.0,0.06696567,0.07946877,0.067961305,0.45800233,1.5347848
119,119.0,6.0,0.06634252,0.07877511,0.06740927,0.4598886,1.5386008
120,120.0,6.0,0.06573603,0.078100234,0.06687031,0.46172804,1.5423206
121,121.0,6.0,0.06514568,0.077443555,0.06634403,0.4635225,1.5459476
122,122.0,6.0,0.06457111,0.07680473,0.06583016,0.4652733,1.5494844
123,123.0,6.0,0.06401192,0.076183096,0.06532828,0.46698153,1.5529342
124,124.0,6.0,0.063467614,0.07557836,0.06483815,0.46864885,1.5562993
125,125.0,6.0,0.0629378,0.074989915,0.064359404,0.47027636,1.5595831
126,126.0,6.0,0.062422134,0.0744174,0.06389182,0.47186542,1.5627877
127,127.0,6.0,0.06192009,0.0738603,0.06343502,0.47341692,1.565915
128,128.0,6.0,0.06143131,0.07331823,0.06298882,0.47493237,1.5689687
129,129.0,6.0,0.060955398,0.07279067,0.0625529,0.4764126,1.5719503
130,130.0,6.0,0.06049192,0.07227723,0.062127,0.47785896,1.5748621
131,131.0,6.0,0.06004058,0.07177746,0.061710887,0.47927228,1.577707
132,132.0,6.0,0.05960089,0.071290925,0.06130427,0.48065364,1.5804867
133,133.0,6.0,0.059172437,0.07081717,0.06090688,0.48200417,1.5832028
134,134.0,6.0,0.058754988,0.0703558,0.060518578,0.4833246,1.585858
135,135.0,6.0,0.0583481,0.06990644,0.060138926,0.48461607,1.5884539
