Time	Value				
0,818333333	840549				
0,82	856964				
0,821666667	986093				
0,823333333	1482612				
0,825	2636818				
0,826666667	4604749				
0,828333333	6886095				
0,83	9263472				
0,831666667	11934557				
0,833333333	14564612				
0,835	17072364				
0,836666667	19613435				
0,838333333	22058455				
0,84	24459485				
0,841666667	26803446				
0,843333333	29122310				
0,845	31377287				
0,846666667	33731027				
0,848333333	35918947				
0,85	38121851				
0,851666667	40545458				
0,853333333	42819620				
0,855	44830675				
0,856666667	46673302				
0,858333333	48622165				
0,86	50577054				
0,861666667	52333003				
0,863333333	54201582				
0,865	56063526				
0,866666667	57566198				
0,868333333	59276366				
0,87	60974419				
0,871666667	62316409				
0,873333333	63719850				
0,875	65243507				
0,876666667	66603344				
0,878333333	68073192				
0,88	69529544				
0,881666667	70927995				
0,883333333	72103862				
0,885	73027992				
0,886666667	74316129				
0,888333333	75465124				
0,89	76407825				
0,891666667	77602231				
0,893333333	78914640				
0,895	79806239				
0,896666667	80416730				
0,898333333	81398903				
0,9	82425620				
0,901666667	83094914				
0,903333333	83799336				
0,905	84850355				
0,906666667	85636129				
0,908333333	86236528				
0,91	86769254				
0,911666667	87274310				
0,913333333	87845317				
0,915	88349685				
0,916666667	89011056				
0,918333333	89893520				
0,92	90736955				
0,921666667	91523323				
0,923333333	92172155				
0,925	92893491				
0,926666667	93566728				
0,928333333	94120617				
0,93	94615099				
0,931666667	95350853				
0,933333333	96046806				
0,935	96643787				
0,936666667	97303502				
0,938333333	98130799				
0,94	98674892				
0,941666667	99258800				
0,943333333	99865666				
0,945	100478439				
0,946666667	101007634				
0,948333333	101746352				
0,95	102409913				
0,951666667	103156815				
0,953333333	103515839				
0,955	104129366				
0,956666667	104495249				
0,958333333	105146945				
0,96	105983948				
0,961666667	106598465				
0,963333333	106989590				
0,965	107490521				
0,966666667	107839135				
0,968333333	108386293				
0,97	108713142				
0,971666667	109170499				
0,973333333	109644711				
0,975	109961777				
0,976666667	110419624				
0,978333333	110928511				
0,98	111066046				
0,981666667	111509085				
0,983333333	111927309				
0,985	112302343				
0,986666667	112875746				
0,988333333	113463544				
0,99	113817386				
0,991666667	114025850				
0,993333333	114079887				
0,995	114381651				
0,996666667	114824741				
0,998333333	115206765				
1	115573105				
1,001666667	116016315				
1,003333333	116353372				
1,005	116524815				
1,006666667	116958899				
1,008333333	117304993				
1,01	117883321				
1,011666667	118572138				
1,013333333	119185613				
1,015	119952467				
1,016666667	120999912				
1,018333333	122040731				
1,02	123219648				
1,021666667	124267694				
1,023333333	125545721				
1,025	126668503				
1,026666667	127637317				
1,028333333	128435438				
1,03	129064688				
1,031666667	129415577				
1,033333333	129886858				
1,035	130214610				
1,036666667	130426021				
1,038333333	130274665				
1,04	130159186				
1,041666667	130001063				
1,043333333	129862640				
1,045	129670124				
1,046666667	129704696				
1,048333333	129522662				
1,05	129489266				
1,051666667	129463933				
1,053333333	129421333				
1,055	129317740				
1,056666667	129314288				
1,058333333	129364927				
1,06	129402912				
1,061666667	129489266				
1,063333333	129674733				
1,065	129912233				
1,066666667	130095695				
1,068333333	130200753				
1,07	130278131				
1,071666667	130598280				
1,073333333	130987146				
1,075	131477523				
1,076666667	131881642				
1,078333333	132093237				
1,08	132511113				
1,081666667	132835159				
1,083333333	133116396				
1,085	133510160				
1,086666667	133972434				
1,088333333	134321716				
1,09	134917010				
1,091666667	135412326				
1,093333333	135813008				
1,095	136108003				
1,096666667	136337141				
1,098333333	136622059				
1,1	137086130				
1,101666667	137540306				
1,103333333	137847863				
1,105	138093920				
1,106666667	138308059				
1,108333333	138589072				
1,11	138877525				
1,111666667	139055276				
1,113333333	139362132				
1,115	139782967				
1,116666667	140087032				
1,118333333	140116977				
1,12	140359055				
1,121666667	140637341				
1,123333333	140866655				
1,125	140950744				
1,126666667	141360733				
1,128333333	141660486				
1,13	141850856				
1,131666667	141737582				
1,133333333	142002760				
1,135	142312850				
1,136666667	142398577				
1,138333333	142676459				
1,14	143000595				
1,141666667	143253627				
1,143333333	143586906				
1,145	143726392				
1,146666667	143833175				
1,148333333	143952139				
1,15	144302031				
1,151666667	144782609				
1,153333333	145223739				
1,155	145476289				
1,156666667	145432351				
1,158333333	145383539				
1,16	145588604				
1,161666667	145830472				
1,163333333	146044411				
1,165	146130030				
1,166666667	146428671				
1,168333333	146662657				
1,17	146757040				
1,171666667	146932401				
1,173333333	147129961				
1,175	147435767				
1,176666667	147681623				
1,178333333	147981845				
1,18	148239245				
1,181666667	148488236				
1,183333333	148684372				
1,185	148830014				
1,186666667	148994257				
1,188333333	149074560				
1,19	149148703				
1,191666667	149361352				
1,193333333	149662038				
1,195	149762333				
1,196666667	149893635				
1,198333333	149945676				
1,2	150182454				
1,201666667	150650360				
1,203333333	150805661				
1,205	151021974				
1,206666667	151238443				
1,208333333	151415215				
1,21	151876305				
1,211666667	152201982				
1,213333333	152265660				
1,215	152468023				
1,216666667	152805592				
1,218333333	153014572				
1,22	153473074				
1,221666667	153619789				
1,223333333	153679999				
1,225	153841876				
1,226666667	154064123				
1,228333333	154361959				
1,23	154738121				
1,231666667	155065590				
1,233333333	155406021				
1,235	155841559				
1,236666667	155961596				
1,238333333	155854192				
1,24	156057660				
1,241666667	156371335				
1,243333333	156813292				
1,245	156928632				
1,246666667	157221610				
1,248333333	157106162				
1,25	156995828				
1,251666667	157241914				
1,253333333	157366297				
1,255	157479301				
1,256666667	157725765				
1,258333333	158098365				
1,26	158541480				
1,261666667	158592452				
1,263333333	158637060				
1,265	158875498				
1,266666667	159438513				
1,268333333	159694177				
1,27	160535475				
1,271666667	159841276				
1,273333333	159875823				
1,275	160107507				
1,276666667	160148485				
1,278333333	159802897				
1,28	159897576				
1,281666667	160031967				
1,283333333	160003804				
1,285	160060132				
1,286666667	160389338				
1,288333333	160597026				
1,29	160602156				
1,291666667	160617545				
1,293333333	160623958				
1,295	160845916				
1,296666667	161143811				
1,298333333	161362270				
1,3	161788049				
1,301666667	162152529				
1,303333333	162574186				
1,305	162956343				
1,306666667	163297563				
1,308333333	163386805				
1,31	163513596				
1,311666667	163772505				
1,313333333	164333745				
1,315	164766022				
1,316666667	164908941				
1,318333333	165016821				
1,32	165326358				
1,321666667	165325057				
1,323333333	165762543				
1,325	166066258				
1,326666667	166238444				
1,328333333	166384610				
1,33	166622268				
1,331666667	166722866				
1,333333333	166920231				
1,335	166913694				
1,336666667	167679410				
1,338333333	168185611				
1,34	168477088				
1,341666667	168194799				
1,343333333	167946841				
1,345	168260426				
1,346666667	169034484				
1,348333333	169963324				
1,35	171113060				
1,351666667	172197611				
1,353333333	173921601				
1,355	175731977				
1,356666667	178110418				
1,358333333	180360757				
1,36	181751028				
1,361666667	182879679				
1,363333333	183656453				
1,365	184362041				
1,366666667	184642454				
1,368333333	185307224				
1,37	185684871				
1,371666667	186051860				
1,373333333	186148496				
1,375	186311453				
1,376666667	186528381				
1,378333333	186836717				
1,38	187113469				
1,381666667	187527595				
1,383333333	187359951				
1,385	187098243				
1,386666667	187081632				
1,388333333	186892051				
1,39	187215919				
1,391666667	186738520				
1,393333333	148830014				
1,395	11764194				
1,396666667	836505				
1,398333333	712592				
1,4	449464				
1,401666667	311850				
1,403333333	254384				
1,405	105910				
1,406666667	40989				
1,408333333	26115				
1,41	17163				
1,411666667	12271				
1,413333333	11042				
1,415	12527				
1,416666667	15598				
1,418333333	17923				
1,42	15813				
1,421666667	11218				
1,423333333	10632				
1,425	19843				
1,426666667	32748				
1,428333333	29914				
1,43	17602				
1,431666667	10943				
1,433333333	9307				
1,435	8094				
1,436666667	6601				
1,438333333	5496				
1,44	4967				
1,441666667	4761				
1,443333333	4602				
1,445	4436				
