,t,Q,TG,DG,MG,G,ME
118,118.0,6.0,0.06534371,0.07926075,0.06962599,0.03601872,0.79545426
119,119.0,6.0,0.06470999,0.07840576,0.06898304,0.035666544,0.7967057
120,120.0,6.0,0.06411067,0.0775964,0.068385206,0.035297066,0.7979162
121,121.0,6.0,0.06354482,0.07683161,0.06783137,0.034911074,0.7990862
122,122.0,6.0,0.063011646,0.07611034,0.06732037,0.034509666,0.80021673
123,123.0,6.0,0.06251027,0.07543137,0.06685085,0.034093652,0.80130875
124,124.0,6.0,0.06203987,0.07479355,0.066421516,0.033664092,0.80236304
125,125.0,6.0,0.06159924,0.07419562,0.066031076,0.033221878,0.8033806
126,126.0,6.0,0.061187312,0.07363622,0.06567799,0.03276792,0.80436254
127,127.0,6.0,0.060803,0.073113985,0.06536086,0.032303203,0.8053097
128,128.0,6.0,0.060445063,0.072627544,0.06507814,0.03182862,0.8062229
129,129.0,6.0,0.060112316,0.072175555,0.06482835,0.03134509,0.8071034
130,130.0,6.0,0.059803613,0.07175655,0.064610004,0.030853558,0.80795205
131,131.0,6.0,0.059517633,0.07136928,0.06442166,0.030354733,0.8087696
132,132.0,6.0,0.05925329,0.07101223,0.06426175,0.029849565,0.8095573
133,133.0,6.0,0.05900927,0.07068398,0.06412878,0.02933879,0.8103161
134,134.0,6.0,0.058784444,0.070383325,0.06402133,0.028823264,0.8110469
135,135.0,6.0,0.058577575,0.070108764,0.06393793,0.028303728,0.8117507
136,136.0,6.0,0.05838757,0.06985904,0.06387719,0.027780848,0.8124283
137,137.0,6.0,0.058213178,0.06963277,0.0638376,0.027255349,0.8130808
138,138.0,6.0,0.05805344,0.06942879,0.06381799,0.02672784,0.813709
139,139.0,6.0,0.057907183,0.069245726,0.063816905,0.026199086,0.81431395
140,140.0,6.0,0.057773463,0.06908241,0.06383301,0.025669552,0.81489635
141,141.0,6.0,0.057651207,0.06893765,0.0638652,0.02513983,0.81545746
142,142.0,6.0,0.057539407,0.06881026,0.06391213,0.024610462,0.8159977
143,143.0,6.0,0.05743719,0.068699114,0.06397269,0.02408194,0.8165182
144,144.0,6.0,0.057343755,0.0686032,0.064045705,0.023554789,0.8170197
145,145.0,6.0,0.057258144,0.06852132,0.06413008,0.023029396,0.817503
146,146.0,6.0,0.05717958,0.06845257,0.064224795,0.022506181,0.81796896
147,147.0,6.0,0.057107173,0.0683958,0.06432868,0.021985548,0.81841826
148,148.0,6.0,0.057040352,0.06835025,0.06444095,0.02146786,0.81885177
149,149.0,6.0,0.056978337,0.068314806,0.0645605,0.020953447,0.81927025
150,150.0,6.0,0.056920405,0.06828856,0.06468638,0.020442663,0.81967425
151,151.0,6.0,0.05686596,0.06827078,0.06481786,0.019935735,0.8200649
152,152.0,6.0,0.0568144,0.06826052,0.064953946,0.019432973,0.82044244
153,153.0,6.0,0.056765158,0.06825691,0.06509383,0.018934641,0.8208076
154,154.0,6.0,0.056717675,0.068259224,0.06523678,0.018440932,0.82116127
155,155.0,6.0,0.05667151,0.06826676,0.06538204,0.017952105,0.82150394
156,156.0,6.0,0.05662607,0.06827867,0.06552881,0.017468315,0.82183623
157,157.0,6.0,0.056580957,0.06829427,0.06567639,0.016989758,0.8221588
158,158.0,6.0,0.056535672,0.06831295,0.06582418,0.016516635,0.82247216
159,159.0,6.0,0.0564899,0.068333864,0.06597145,0.016049087,0.8227769
160,160.0,6.0,0.056443185,0.06835652,0.066117615,0.01558724,0.8230737
161,161.0,6.0,0.056395244,0.06838029,0.066262126,0.015131203,0.8233627
162,162.0,6.0,0.056345686,0.068404496,0.06640429,0.014681142,0.823645
163,163.0,6.0,0.056294147,0.06842862,0.06654362,0.014237132,0.8239206
164,164.0,6.0,0.056240417,0.06845211,0.066679604,0.013799304,0.8241904
165,165.0,6.0,0.056184087,0.06847438,0.066811636,0.013367735,0.8244544
166,166.0,6.0,0.05612496,0.06849488,0.06693929,0.012942471,0.82471347
167,167.0,6.0,0.056062806,0.06851319,0.06706215,0.012523629,0.82496786
168,168.0,6.0,0.05599738,0.06852879,0.06717962,0.012111267,0.8252181
169,169.0,6.0,0.055928458,0.06854125,0.067291416,0.011705445,0.8254645
170,170.0,6.0,0.055855818,0.06855006,0.067397,0.011306256,0.8257073
171,171.0,6.0,0.055779338,0.06855489,0.06749615,0.010913696,0.82594717
172,172.0,6.0,0.055698637,0.0685552,0.06758829,0.010527808,0.8261844
173,173.0,6.0,0.05561375,0.06855071,0.06767316,0.010148635,0.82641935
174,174.0,6.0,0.055524502,0.06854091,0.06775039,0.009776263,0.8266522
175,175.0,6.0,0.05543052,0.068525605,0.06781966,0.009410635,0.8268837
176,176.0,6.0,0.055332053,0.068504356,0.067880675,0.009051895,0.82711357
177,177.0,6.0,0.05522864,0.06847683,0.06793314,0.008699935,0.8273424
178,178.0,6.0,0.055120323,0.068442695,0.067976706,0.008354874,0.8275707
179,179.0,6.0,0.055006873,0.06840173,0.06801123,0.008016663,0.8277982
180,180.0,6.0,0.054888465,0.06835365,0.06803642,0.0076853484,0.82802576
181,181.0,6.0,0.054764632,0.06829809,0.06805198,0.007360896,0.82825315
182,182.0,6.0,0.05463559,0.068234846,0.06805774,0.0070433803,0.82848096
183,183.0,6.0,0.054501213,0.06816376,0.068053566,0.0067327432,0.8287092
184,184.0,6.0,0.05436136,0.068084545,0.0680392,0.006429024,0.8289383
185,185.0,6.0,0.054215997,0.06799699,0.06801451,0.0061321557,0.8291683
186,186.0,6.0,0.05406507,0.06790095,0.067979306,0.005842168,0.8293992
187,187.0,6.0,0.053908497,0.06779623,0.06793346,0.0055590365,0.82963157
188,188.0,6.0,0.05374641,0.067682736,0.06787693,0.0052827243,0.82986534
189,189.0,6.0,0.053578578,0.06756016,0.06780944,0.0050133225,0.8301008
190,190.0,6.0,0.05340511,0.06742848,0.06773101,0.0047506895,0.8303379
191,191.0,6.0,0.053225987,0.06728763,0.06764157,0.0044948347,0.83057696
192,192.0,6.0,0.053041067,0.0671374,0.06754099,0.004245756,0.83081806
193,193.0,6.0,0.05285052,0.06697776,0.067429274,0.0040033646,0.83106136
194,194.0,6.0,0.052654352,0.06680874,0.06730643,0.0037677046,0.8313068
195,195.0,6.0,0.05245238,0.06663012,0.06717228,0.003538698,0.8315548
196,196.0,6.0,0.05224486,0.066441916,0.06702694,0.003316287,0.831805
197,197.0,6.0,0.0520316,0.066244066,0.06687037,0.0031004585,0.8320577
198,198.0,6.0,0.05181275,0.06603658,0.06670256,0.0028911717,0.83231336
199,199.0,6.0,0.05158829,0.06581944,0.0665235,0.0026884004,0.8325713
200,200.0,6.0,0.05135838,0.06559275,0.06633342,0.002492018,0.83283216
201,201.0,6.0,0.05112295,0.065356396,0.06613223,0.0023020245,0.83309585
202,202.0,6.0,0.05088204,0.065110475,0.065919995,0.002118338,0.83336216
203,203.0,6.0,0.050635733,0.06485501,0.0656968,0.0019409657,0.8336314
204,204.0,6.0,0.050384074,0.064590044,0.06546272,0.0017698146,0.83390343
205,205.0,6.0,0.050127182,0.06431569,0.0652179,0.0016047638,0.8341782
206,206.0,6.0,0.049865093,0.064031966,0.06496245,0.001445828,0.834456
207,207.0,6.0,0.049597826,0.06373901,0.06469643,0.001292862,0.83473676
208,208.0,6.0,0.04932551,0.063436866,0.06441999,0.001145877,0.8350203
