Epoch 189000 	 loss_c_data: 9.5354e-04 	 loss_c_ode: 1.0832e-08
Epoch 190000 	 loss_c_data: 9.5345e-04 	 loss_c_ode: 1.0809e-08
Epoch 191000 	 loss_c_data: 9.5335e-04 	 loss_c_ode: 1.0786e-08
Epoch 192000 	 loss_c_data: 9.5326e-04 	 loss_c_ode: 1.0764e-08
Epoch 193000 	 loss_c_data: 9.5311e-04 	 loss_c_ode: 1.2161e-08
Epoch 194000 	 loss_c_data: 9.5307e-04 	 loss_c_ode: 1.0719e-08
Epoch 195000 	 loss_c_data: 9.5298e-04 	 loss_c_ode: 1.0697e-08
Epoch 196000 	 loss_c_data: 9.5290e-04 	 loss_c_ode: 1.0676e-08
Epoch 197000 	 loss_c_data: 9.5281e-04 	 loss_c_ode: 1.0654e-08
Epoch 198000 	 loss_c_data: 9.5272e-04 	 loss_c_ode: 1.0635e-08
Epoch 199000 	 loss_c_data: 9.5264e-04 	 loss_c_ode: 1.0613e-08
Epoch 200000 	 loss_c_data: 9.5256e-04 	 loss_c_ode: 1.0592e-08
Epoch 201000 	 loss_c_data: 9.5247e-04 	 loss_c_ode: 1.0572e-08
Epoch 202000 	 loss_c_data: 9.5238e-04 	 loss_c_ode: 1.0551e-08
Epoch 203000 	 loss_c_data: 9.5231e-04 	 loss_c_ode: 1.0530e-08
Epoch 204000 	 loss_c_data: 9.5223e-04 	 loss_c_ode: 1.0509e-08
Epoch 205000 	 loss_c_data: 9.5214e-04 	 loss_c_ode: 1.0491e-08
Epoch 206000 	 loss_c_data: 9.5207e-04 	 loss_c_ode: 1.0471e-08
Epoch 207000 	 loss_c_data: 9.5199e-04 	 loss_c_ode: 1.0453e-08
Epoch 208000 	 loss_c_data: 9.5193e-04 	 loss_c_ode: 1.0433e-08
Epoch 209000 	 loss_c_data: 9.5185e-04 	 loss_c_ode: 1.0415e-08
Epoch 210000 	 loss_c_data: 9.5178e-04 	 loss_c_ode: 1.0395e-08
Epoch 211000 	 loss_c_data: 9.5171e-04 	 loss_c_ode: 1.0381e-08
Epoch 212000 	 loss_c_data: 9.5163e-04 	 loss_c_ode: 1.0358e-08
Epoch 213000 	 loss_c_data: 9.5155e-04 	 loss_c_ode: 1.0341e-08
Epoch 214000 	 loss_c_data: 9.5149e-04 	 loss_c_ode: 1.0321e-08
Epoch 215000 	 loss_c_data: 9.5142e-04 	 loss_c_ode: 1.0308e-08
Epoch 216000 	 loss_c_data: 9.5135e-04 	 loss_c_ode: 1.0284e-08
Epoch 217000 	 loss_c_data: 9.5128e-04 	 loss_c_ode: 1.0267e-08
Epoch 218000 	 loss_c_data: 9.5123e-04 	 loss_c_ode: 1.0411e-08
Epoch 219000 	 loss_c_data: 9.5114e-04 	 loss_c_ode: 1.0231e-08
Epoch 220000 	 loss_c_data: 9.5108e-04 	 loss_c_ode: 1.0213e-08
Epoch 221000 	 loss_c_data: 9.5104e-04 	 loss_c_ode: 1.0513e-08
Epoch 222000 	 loss_c_data: 9.5094e-04 	 loss_c_ode: 1.0177e-08
Epoch 223000 	 loss_c_data: 9.5088e-04 	 loss_c_ode: 1.0159e-08
Epoch 224000 	 loss_c_data: 9.5082e-04 	 loss_c_ode: 1.0143e-08
Epoch 225000 	 loss_c_data: 9.5076e-04 	 loss_c_ode: 1.0125e-08
Epoch 226000 	 loss_c_data: 9.5069e-04 	 loss_c_ode: 1.0108e-08
Epoch 227000 	 loss_c_data: 9.5063e-04 	 loss_c_ode: 1.0091e-08
Epoch 228000 	 loss_c_data: 9.5057e-04 	 loss_c_ode: 1.0076e-08
Epoch 229000 	 loss_c_data: 9.5051e-04 	 loss_c_ode: 1.0060e-08
Epoch 230000 	 loss_c_data: 9.5045e-04 	 loss_c_ode: 1.0043e-08
Epoch 231000 	 loss_c_data: 9.5039e-04 	 loss_c_ode: 1.0027e-08
Epoch 232000 	 loss_c_data: 9.5035e-04 	 loss_c_ode: 1.0023e-08
Epoch 233000 	 loss_c_data: 9.5028e-04 	 loss_c_ode: 9.9942e-09
Epoch 234000 	 loss_c_data: 9.5022e-04 	 loss_c_ode: 9.9783e-09
Epoch 235000 	 loss_c_data: 9.5016e-04 	 loss_c_ode: 9.9663e-09
Epoch 236000 	 loss_c_data: 9.5011e-04 	 loss_c_ode: 9.9460e-09
Epoch 237000 	 loss_c_data: 9.5006e-04 	 loss_c_ode: 9.9289e-09
Epoch 238000 	 loss_c_data: 9.5000e-04 	 loss_c_ode: 9.9147e-09
Epoch 239000 	 loss_c_data: 9.4997e-04 	 loss_c_ode: 9.8980e-09
Epoch 240000 	 loss_c_data: 9.4989e-04 	 loss_c_ode: 9.8843e-09
Epoch 241000 	 loss_c_data: 9.4984e-04 	 loss_c_ode: 9.8687e-09
Epoch 242000 	 loss_c_data: 9.4978e-04 	 loss_c_ode: 9.8544e-09
Epoch 243000 	 loss_c_data: 9.4974e-04 	 loss_c_ode: 9.8390e-09
Epoch 244000 	 loss_c_data: 9.4968e-04 	 loss_c_ode: 9.8247e-09
Epoch 245000 	 loss_c_data: 9.4965e-04 	 loss_c_ode: 9.8846e-09
Epoch 246000 	 loss_c_data: 9.4959e-04 	 loss_c_ode: 9.7967e-09
Epoch 247000 	 loss_c_data: 9.4954e-04 	 loss_c_ode: 9.7818e-09
Epoch 248000 	 loss_c_data: 9.4949e-04 	 loss_c_ode: 9.7915e-09
Epoch 249000 	 loss_c_data: 9.4944e-04 	 loss_c_ode: 9.7533e-09
Epoch 250000 	 loss_c_data: 9.4939e-04 	 loss_c_ode: 9.7398e-09
Epoch 251000 	 loss_c_data: 9.4935e-04 	 loss_c_ode: 9.7248e-09
Epoch 252000 	 loss_c_data: 9.4929e-04 	 loss_c_ode: 9.7118e-09
Epoch 253000 	 loss_c_data: 9.4925e-04 	 loss_c_ode: 9.6987e-09
Epoch 254000 	 loss_c_data: 9.4921e-04 	 loss_c_ode: 9.6843e-09
Epoch 255000 	 loss_c_data: 9.4915e-04 	 loss_c_ode: 9.6713e-09
Epoch 256000 	 loss_c_data: 9.4912e-04 	 loss_c_ode: 9.6574e-09
Epoch 257000 	 loss_c_data: 9.4907e-04 	 loss_c_ode: 9.6449e-09
Epoch 258000 	 loss_c_data: 9.4902e-04 	 loss_c_ode: 9.6319e-09
Epoch 259000 	 loss_c_data: 9.4897e-04 	 loss_c_ode: 9.6194e-09
Epoch 260000 	 loss_c_data: 9.4895e-04 	 loss_c_ode: 9.6047e-09
Epoch 261000 	 loss_c_data: 9.4890e-04 	 loss_c_ode: 9.5935e-09
Epoch 262000 	 loss_c_data: 9.4885e-04 	 loss_c_ode: 9.5814e-09
Epoch 263000 	 loss_c_data: 9.4881e-04 	 loss_c_ode: 9.5688e-09
Epoch 264000 	 loss_c_data: 9.4877e-04 	 loss_c_ode: 9.5559e-09
Epoch 265000 	 loss_c_data: 9.4873e-04 	 loss_c_ode: 9.5438e-09
Epoch 266000 	 loss_c_data: 9.4869e-04 	 loss_c_ode: 9.5298e-09
Epoch 267000 	 loss_c_data: 9.4865e-04 	 loss_c_ode: 9.5188e-09
Epoch 268000 	 loss_c_data: 9.4860e-04 	 loss_c_ode: 9.5073e-09
Epoch 269000 	 loss_c_data: 9.4854e-04 	 loss_c_ode: 9.6725e-09
Epoch 270000 	 loss_c_data: 9.4853e-04 	 loss_c_ode: 9.4833e-09
Epoch 271000 	 loss_c_data: 9.4849e-04 	 loss_c_ode: 9.4723e-09
Epoch 272000 	 loss_c_data: 9.4845e-04 	 loss_c_ode: 9.4612e-09
Epoch 273000 	 loss_c_data: 9.4841e-04 	 loss_c_ode: 9.4502e-09
Epoch 274000 	 loss_c_data: 9.4837e-04 	 loss_c_ode: 9.4386e-09
Epoch 275000 	 loss_c_data: 9.4833e-04 	 loss_c_ode: 9.4285e-09
Epoch 276000 	 loss_c_data: 9.4831e-04 	 loss_c_ode: 9.4509e-09
Epoch 277000 	 loss_c_data: 9.4828e-04 	 loss_c_ode: 9.4037e-09
Epoch 278000 	 loss_c_data: 9.4827e-04 	 loss_c_ode: 9.4015e-09
Epoch 279000 	 loss_c_data: 9.4820e-04 	 loss_c_ode: 9.3836e-09
Epoch 280000 	 loss_c_data: 9.4818e-04 	 loss_c_ode: 9.3699e-09
Epoch 281000 	 loss_c_data: 9.4815e-04 	 loss_c_ode: 9.3602e-09
Epoch 282000 	 loss_c_data: 9.4810e-04 	 loss_c_ode: 9.3517e-09
Epoch 283000 	 loss_c_data: 9.4805e-04 	 loss_c_ode: 9.3414e-09
Epoch 284000 	 loss_c_data: 9.4804e-04 	 loss_c_ode: 9.3281e-09
Epoch 285000 	 loss_c_data: 9.4800e-04 	 loss_c_ode: 9.3180e-09
Epoch 286000 	 loss_c_data: 9.4798e-04 	 loss_c_ode: 9.3067e-09
Epoch 287000 	 loss_c_data: 9.4799e-04 	 loss_c_ode: 9.4390e-09
Epoch 288000 	 loss_c_data: 9.4790e-04 	 loss_c_ode: 9.2893e-09
Epoch 289000 	 loss_c_data: 9.4785e-04 	 loss_c_ode: 9.2798e-09
Epoch 290000 	 loss_c_data: 9.4781e-04 	 loss_c_ode: 9.2693e-09
Epoch 291000 	 loss_c_data: 9.4778e-04 	 loss_c_ode: 9.2606e-09
Epoch 292000 	 loss_c_data: 9.4777e-04 	 loss_c_ode: 9.2479e-09
Epoch 293000 	 loss_c_data: 9.4775e-04 	 loss_c_ode: 9.2374e-09
Epoch 294000 	 loss_c_data: 9.4770e-04 	 loss_c_ode: 9.2301e-09
Epoch 295000 	 loss_c_data: 9.4767e-04 	 loss_c_ode: 9.2212e-09
Epoch 296000 	 loss_c_data: 9.4764e-04 	 loss_c_ode: 9.2117e-09
Epoch 297000 	 loss_c_data: 9.4761e-04 	 loss_c_ode: 9.2027e-09
Epoch 298000 	 loss_c_data: 9.4757e-04 	 loss_c_ode: 9.1932e-09
Epoch 299000 	 loss_c_data: 9.4754e-04 	 loss_c_ode: 9.1850e-09
Epoch 300000 	 loss_c_data: 9.4749e-04 	 loss_c_ode: 9.2258e-09
Epoch 301000 	 loss_c_data: 9.4753e-04 	 loss_c_ode: 9.1622e-09
Epoch 302000 	 loss_c_data: 9.4745e-04 	 loss_c_ode: 9.1575e-09
Epoch 303000 	 loss_c_data: 9.4742e-04 	 loss_c_ode: 9.1487e-09
Epoch 304000 	 loss_c_data: 9.4740e-04 	 loss_c_ode: 9.1399e-09
Epoch 305000 	 loss_c_data: 9.4737e-04 	 loss_c_ode: 9.1303e-09
Epoch 306000 	 loss_c_data: 9.4735e-04 	 loss_c_ode: 9.1207e-09
Epoch 307000 	 loss_c_data: 9.4731e-04 	 loss_c_ode: 9.1132e-09
Epoch 308000 	 loss_c_data: 9.4729e-04 	 loss_c_ode: 9.1050e-09
Epoch 309000 	 loss_c_data: 9.4727e-04 	 loss_c_ode: 9.0954e-09
Epoch 310000 	 loss_c_data: 9.4723e-04 	 loss_c_ode: 9.0872e-09
